GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
demo,com.example.demo.controllers,EstudianteController,27,3,0,0,8,1,3,1,3,1
demo,com.example.demo.controllers,PlanillaController,14,3,0,0,2,1,1,1,1,1
demo,com.example.demo.controllers,PruebaController,38,3,0,0,11,1,4,1,4,1
demo,com.example.demo.controllers,indexController,26,3,0,0,10,1,8,1,8,1
demo,com.example.demo.controllers,CuotaController,42,3,2,0,11,1,5,1,4,1
demo,com.example.demo.entities,CuotaEntity,294,42,38,0,6,7,33,12,14,12
demo,com.example.demo.entities,PlanillaEntity,465,71,72,0,12,6,53,19,17,19
demo,com.example.demo.entities,PruebaEntity,152,24,26,0,2,5,20,7,7,7
demo,com.example.demo.entities,EstudianteEntity,328,20,58,0,6,5,45,6,16,6
demo,com.example.demo.services,EstudianteService,0,30,0,0,0,8,0,6,0,6
demo,com.example.demo.services,CuotaService,6,24,0,0,2,7,1,5,1,5
demo,com.example.demo.services,PruebaService,0,23,0,0,0,7,0,5,0,5
demo,com.example.demo.services,PlanillaService,6,383,3,33,2,99,3,24,0,9
demo,com.example.demo,DemoApplication,5,3,0,0,2,1,1,1,1,1
